id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
200,GJ 1132 b,41,1.66 Earths,13.68,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7106/gj-1132-b/
201,GJ 1132 c,41,2.64 Earths,13.68,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7255/gj-1132-c/
202,GJ 1148 b,36,0.30425 Jupiters,11.939,2010,https://exoplanets.nasa.gov/exoplanet-catalog/6861/gj-1148-b/
203,GJ 1148 c,36,0.21414 Jupiters,11.939,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7221/gj-1148-c/
204,GJ 1151 c,26,10.62 Earths,13.76,2023,https://exoplanets.nasa.gov/exoplanet-catalog/8732/gj-1151-c/
205,GJ 1214 b,48,8.17 Earths,15.1,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6557/gj-1214-b/
206,GJ 1252 b,66,1.32 Earths,12.68,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7585/gj-1252-b/
207,GJ 1265 b,33,7.4 Earths,14.01,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7361/gj-1265-b/
208,GJ 143 b,53,22.7 Earths,8.08,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7337/gj-143-b/
209,GJ 15 A b,12,3.03 Earths,8.09,2014,https://exoplanets.nasa.gov/exoplanet-catalog/7498/gj-15-a-b/
210,GJ 15 A c,12,36 Earths,8.09,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7499/gj-15-a-c/
211,GJ 160.2 b,84,10.2 Earths,9.7,2014,https://exoplanets.nasa.gov/exoplanet-catalog/7486/gj-1602-b/
212,GJ 163 b,49,10.6 Earths,11.79,2013,https://exoplanets.nasa.gov/exoplanet-catalog/6527/gj-163-b/
213,GJ 163 c,49,6.8 Earths,11.79,2013,https://exoplanets.nasa.gov/exoplanet-catalog/6528/gj-163-c/
214,GJ 163 d,49,29.4 Earths,11.79,2013,https://exoplanets.nasa.gov/exoplanet-catalog/6529/gj-163-d/
215,GJ 179 b,40,0.95 Jupiters,11.963,2009,https://exoplanets.nasa.gov/exoplanet-catalog/6530/gj-179-b/
216,GJ 180 b,39,6.49 Earths,10.914,2014,https://exoplanets.nasa.gov/exoplanet-catalog/7487/gj-180-b/
217,GJ 180 c,39,6.4 Earths,10.914,2014,https://exoplanets.nasa.gov/exoplanet-catalog/7489/gj-180-c/
218,GJ 180 d,39,7.56 Earths,10.914,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7581/gj-180-d/
219,GJ 2030 b,121,4.76743 Earths,6.20902,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8642/gj-2030-b/
220,GJ 2030 c,121,12.803 Jupiters,6.20902,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8643/gj-2030-c/
221,GJ 2056 b,93,16.2 Earths,10.37,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7672/gj-2056-b/
222,GJ 229 A c,19,8.58137 Earths,8.15,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7582/gj-229-a-c/
223,GJ 229 b,19,14.93794 Earths,8.15,2014,https://exoplanets.nasa.gov/exoplanet-catalog/7491/gj-229-b/
224,GJ 251 b,18,4 Earths,9.89,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7830/gj-251-b/
