id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
44,AB Pictoris b,163,13.5 Jupiters,9.13,2005,https://exoplanets.nasa.gov/exoplanet-catalog/7014/ab-pictoris-b/
45,AF Leporis b,88,3.2 Jupiters,6.332,2023,https://exoplanets.nasa.gov/exoplanet-catalog/8767/af-leporis-b/
46,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010,https://exoplanets.nasa.gov/exoplanet-catalog/7038/alpha-arietis-b/
47,Alpha Tauri b,67,6.47 Jupiters,0.872,2015,https://exoplanets.nasa.gov/exoplanet-catalog/7107/alpha-tauri-b/
48,AU Microscopii b,32,20.12 Earths,8.81,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7635/au-microscopii-b/
49,AU Microscopii c,32,9.6 Earths,8.81,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7939/au-microscopii-c/
50,b Centauri AB b,320,10.9 Jupiters,4.01,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8381/b-centauri-ab-b/
51,BD-00 4475 b,139,25.05 Jupiters,9.01,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7871/bd-00-4475-b/
52,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017,https://exoplanets.nasa.gov/exoplanet-catalog/7176/bd03-2562-b/
53,BD-06 1339 b,66,8.5 Earths,9.7,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7073/bd-06-1339-b/
54,BD-06 1339 c,66,0.17 Jupiters,9.7,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7074/bd-06-1339-c/
55,BD-08 2823 b,135,12.7132 Earths,9.86,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7071/bd-08-2823-b/
56,BD-08 2823 c,135,0.33 Jupiters,9.86,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7072/bd-08-2823-c/
57,BD-10 3166 b,275,0.59 Jupiters,10.013,2000,https://exoplanets.nasa.gov/exoplanet-catalog/7070/bd-10-3166-b/
58,BD-11 4672 b,89,0.65 Jupiters,10.03,2014,https://exoplanets.nasa.gov/exoplanet-catalog/7069/bd-11-4672-b/
59,BD-11 4672 c,89,15.37 Earths,10.03,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7664/bd-11-4672-c/
60,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007,https://exoplanets.nasa.gov/exoplanet-catalog/7068/bd-13-2130-b/
61,BD+14 4559 b,161,1.04 Jupiters,9.78,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7075/bd14-4559-b/
62,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7025/bd15-2375-b/
63,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013,https://exoplanets.nasa.gov/exoplanet-catalog/7076/bd15-2940-b/
64,BD-17 63 b,112,5.1 Jupiters,9.62,2008,https://exoplanets.nasa.gov/exoplanet-catalog/7067/bd-17-63-b/
65,BD+20 2457 b,5023,21.42 Jupiters,9.743,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7078/bd20-2457-b/
66,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7079/bd20-2457-c/
67,BD+20 274 b,4314,4.2 Jupiters,9.367,2012,https://exoplanets.nasa.gov/exoplanet-catalog/7077/bd20-274-b/
68,BD+20 594 b,585,22.2481 Earths,10.849,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7166/bd20-594-b/
69,BD-210397 b,77,0.7 Jupiters,9.84,2023,https://exoplanets.nasa.gov/exoplanet-catalog/8968/bd-210397-b/
70,BD-210397 c,77,2.4 Jupiters,9.84,2023,https://exoplanets.nasa.gov/exoplanet-catalog/8969/bd-210397-c/
71,BD+45 564 b,175,1.36 Jupiters,9.67,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7868/bd45-564-b/
72,BD+48 738 b,2843,0.91 Jupiters,9.139,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6565/bd48-738-b/
73,BD+48 740 b,2174,1.7 Jupiters,8.69,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7198/bd48-740-b/
74,BD+49 828 b,1442,1.6 Jupiters,9.381,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6566/bd49-828-b/
75,BD+55 362 b,171,0.72 Jupiters,9.38,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7873/bd55-362-b/
76,BD+60 1417 b,147,15 Jupiters,9.374,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8360/bd60-1417-b/
77,BD+63 1405 b,124,10.4 Jupiters,8.96,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7869/bd63-1405-b/
78,Beta Cancri b,290,7.8 Jupiters,3.51012,2014,https://exoplanets.nasa.gov/exoplanet-catalog/7039/beta-cancri-b/
79,Beta Pictoris b,64,11.729 Jupiters,3.85,2008,https://exoplanets.nasa.gov/exoplanet-catalog/7040/beta-pictoris-b/
80,Beta Pictoris c,64,10.139 Jupiters,3.85,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7461/beta-pictoris-c/
81,Beta Ursae Minoris b,126,6.1 Jupiters,2.0569,2014,https://exoplanets.nasa.gov/exoplanet-catalog/7041/beta-ursae-minoris-b/
82,CD Ceti b,28,3.95 Earths,13.95,2020,https://exoplanets.nasa.gov/exoplanet-catalog/8025/cd-ceti-b/
83,CFBDSIR J145829+101343 b,75,10.5 Jupiters,,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6567/cfbdsir-j145829101343-b/
84,CFHTWIR-Oph 98 b,,7.8 Jupiters,,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7861/cfhtwir-oph-98-b/
85,CHXR 73 b,621,12.569 Jupiters,,2006,https://exoplanets.nasa.gov/exoplanet-catalog/6568/chxr-73-b/
86,CI Tauri b,515,11.6 Jupiters,13.642,2019,https://exoplanets.nasa.gov/exoplanet-catalog/7422/ci-tauri-b/
87,COCONUTS-2 b,36,6.3 Jupiters,11.298,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7945/coconuts-2-b/
88,CoRoT-10 b,1104,2.75 Jupiters,15.293,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1327/corot-10-b/
89,CoRoT-11 b,2137,2.33 Jupiters,12.897,2010,https://exoplanets.nasa.gov/exoplanet-catalog/4931/corot-11-b/
90,CoRoT-12 b,3674,0.917 Jupiters,15.588,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1328/corot-12-b/
91,CoRoT-13 b,3748,1.308 Jupiters,15.005,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1329/corot-13-b/
92,CoRoT-14 b,5691,7.6 Jupiters,15.932,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1330/corot-14-b/
93,CoRoT-16 b,2389,0.535 Jupiters,16.052,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1331/corot-16-b/
94,CoRoT-17 b,3837,2.43 Jupiters,16.29,2011,https://exoplanets.nasa.gov/exoplanet-catalog/4932/corot-17-b/
95,CoRoT-18 b,2495,3.47 Jupiters,14.868,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1332/corot-18-b/
96,CoRoT-19 b,2579,1.11 Jupiters,14.135,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1333/corot-19-b/
97,CoRoT-1 b,2570,1.03 Jupiters,13.623,2008,https://exoplanets.nasa.gov/exoplanet-catalog/1237/corot-1-b/
98,CoRoT-20 b,2753,4.3 Jupiters,14.63,2011,https://exoplanets.nasa.gov/exoplanet-catalog/4933/corot-20-b/
99,CoRoT-20 c,2753,17 Jupiters,14.63,2018,https://exoplanets.nasa.gov/exoplanet-catalog/6349/corot-20-c/
100,CoRoT-21 b,4563,2.26 Jupiters,16.058,2012,https://exoplanets.nasa.gov/exoplanet-catalog/6429/corot-21-b/
101,CoRoT-22 b,2046,12.2 Earths,13.82,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1334/corot-22-b/
102,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1335/corot-23-b/
103,CoRoT-24 b,1930,5.7 Earths,15.383,2014,https://exoplanets.nasa.gov/exoplanet-catalog/4934/corot-24-b/
104,CoRoT-24 c,1930,28 Earths,15.383,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1336/corot-24-c/
105,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013,https://exoplanets.nasa.gov/exoplanet-catalog/1337/corot-25-b/
106,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013,https://exoplanets.nasa.gov/exoplanet-catalog/4935/corot-26-b/
107,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1338/corot-27-b/
108,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015,https://exoplanets.nasa.gov/exoplanet-catalog/1339/corot-28-b/
109,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015,https://exoplanets.nasa.gov/exoplanet-catalog/1340/corot-29-b/
110,CoRoT-2 b,696,3.47 Jupiters,12.516,2008,https://exoplanets.nasa.gov/exoplanet-catalog/1238/corot-2-b/
111,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7609/corot-30-b/
112,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7610/corot-31-b/
113,CoRoT-35 b,3664,1.1 Jupiters,15.635,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8539/corot-35-b/
114,CoRoT-36 b,3020,0.68 Jupiters,13.126,2022,https://exoplanets.nasa.gov/exoplanet-catalog/8543/corot-36-b/
115,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008,https://exoplanets.nasa.gov/exoplanet-catalog/4936/corot-3-b/
116,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008,https://exoplanets.nasa.gov/exoplanet-catalog/1239/corot-4-b/
